ID,Name,Longitude_WGS84,Latitude_WGS84,Street,AdmArea,District,RouteNumbers,StationName,Direction,Pavilion,OperatingOrgName,EntryState,global_id,geoData
44,"«Ин-т Цветметавтоматика», Дмитровское шоссе (в центр)",37.5582614716,55.8582121735,Дмитровское шоссе,Северный административный округ,район Западное Дегунино,А179; А194; А763К; А763; АТ56; АТ78,Ин-т Цветметавтоматика,в центр,да,ГУП «Мосгортранс»,активна,1715978,"{type=Point, coordinates=[37.5582614716, 55.8582121735]}"
45,"«7-й автобусный парк», Дмитровское шоссе (в центр)",37.56585131,55.85033933,Дмитровское шоссе,Северный административный округ,район Западное Дегунино,А677К; А179; А194; А677; А114; А82; А692; А154,7-й автобусный парк,в центр,да,ГУП «Мосгортранс»,активна,1715979,"{type=Point, coordinates=[37.56585131, 55.85033933]}"
46,"«Нижн. Лихоборы», Дмитровское шоссе (в центр)",37.5673105,55.84733792,Дмитровское шоссе,Северный административный округ,Тимирязевский район,А179; А194; А114; А82; А692,Нижн. Лихоборы,в центр,да,ГУП «Мосгортранс»,активна,1715980,"{type=Point, coordinates=[37.5673105, 55.84733792]}"
47,"«Метро Петровско-Разумовская», Локомотивный проезд (от центра)",37.57585651,55.83716907,Локомотивный проезд,Северный административный округ,Тимирязевский район,А204; А114; АТ19,Метро Петровско-Разумовская,от центра,да,ГУП «Мосгортранс»,активна,1715981,"{type=Point, coordinates=[37.57585651, 55.83716907]}"
48,"«К/т Байкал», Большая Академическая улица (в центр)",37.53956854,55.8371443498,Большая Академическая улица,Северный административный округ,район Коптево,Тб57; А204; А179; А114; АТ19,К/т Байкал,в центр,да,ГУП «Мосгортранс»,активна,1715982,"{type=Point, coordinates=[37.53956854, 55.8371443498]}"
49,"«Стадион Наука», Большая Академическая улица (в центр)",37.5328525,55.83295208,Большая Академическая улица,Северный административный округ,район Коптево,Тб57; А204; А179; А114; АТ19,Стадион Наука,в центр,да,ГУП «Мосгортранс»,активна,1715983,"{type=Point, coordinates=[37.5328525, 55.83295208]}"
50,"«Управа района Коптево», улица Зои и Александра Космодемьянских (в центр)",37.52242762,55.82411549,улица Зои и Александра Космодемьянских,Северный административный округ,район Коптево,А204; А780; А179,Управа района Коптево,в центр,да,ГУП «Мосгортранс»,активна,1715984,"{type=Point, coordinates=[37.52242762, 55.82411549]}"
51,"«К/т Рассвет», улица Зои и Александра Космодемьянских (в центр)",37.51887274,55.82307265,улица Зои и Александра Космодемьянских,Северный административный округ,район Коптево,А204; А780; А179,К/т Рассвет,в центр,да,ГУП «Мосгортранс»,активна,1715985,"{type=Point, coordinates=[37.51887274, 55.82307265]}"
52,"«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских (в центр) (1)",37.51071983,55.82087948,улица Зои и Александра Космодемьянских,Северный административный округ,Войковский район,А204; А780; А179,3-й Новоподмосковный пер.,в центр,нет,,активна,1715986,"{type=Point, coordinates=[37.51071983, 55.82087948]}"
53,"«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских ( (от центра))(от центра)",37.51203859,55.8210445,улица Зои и Александра Космодемьянских,Северный административный округ,Войковский район,А204; А780; А179,3-й Новоподмосковный пер.,от центра,да,ГУП «Мосгортранс»,активна,1715987,"{type=Point, coordinates=[37.51203859, 55.8210445]}"
54,"«К/т Рассвет», улица Зои и Александра Космодемьянских (от центра)",37.51687828,55.82237098,улица Зои и Александра Космодемьянских,Северный административный округ,Войковский район,А204; А780; А179,К/т Рассвет,от центра,да,ГУП «Мосгортранс»,активна,1715988,"{type=Point, coordinates=[37.51687828, 55.82237098]}"
55,"«Управа района Коптево», улица Зои и Александра Космодемьянских (от центра)",37.5231852,55.82399093,улица Зои и Александра Космодемьянских,Северный административный округ,район Коптево,А204; А780; А179,Управа района Коптево,от центра,нет,,активна,1715989,"{type=Point, coordinates=[37.5231852, 55.82399093]}"
56,"«Стадион Наука», Большая Академическая улица (от центра)",37.53338601,55.83304516,Большая Академическая улица,Северный административный округ,район Коптево,Тб57; А204; А179; А114; АТ19,Стадион Наука,от центра,да,ГУП «Мосгортранс»,активна,1715990,"{type=Point, coordinates=[37.53338601, 55.83304516]}"
60,"«7-й автобусный парк», Дмитровское шоссе (от центра) (1)",37.56536026,55.85188534,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А194,7-й автобусный парк,от центра,нет,,активна,1715992,"{type=Point, coordinates=[37.56536026, 55.85188534]}"
61,"«Ин-т Цветметавтоматика», Дмитровское шоссе (от центра)",37.55947707,55.8580184,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А194; А763К; А763; АТ56; АТ47; Тб36; АТ78,Ин-т Цветметавтоматика,от центра,да,ГУП «Мосгортранс»,активна,1715993,"{type=Point, coordinates=[37.55947707, 55.8580184]}"
62,"«Ильменский пр.», Дмитровское шоссе (от центра)",37.5540423035,55.8609062765,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А194; А763К; А763; АТ56; АТ47; Тб36; АТ78,Ильменский пр.,от центра,да,ГУП «Мосгортранс»,активна,1715994,"{type=Point, coordinates=[37.5540423035, 55.8609062765]}"ID,Name,Longitude_WGS84,Latitude_WGS84,Street,AdmArea,District,RouteNumbers,StationName,Direction,Pavilion,OperatingOrgName,EntryState,global_id,geoData
65,"«Бескудниково», Дмитровское шоссе (от центра)",37.54811496,55.87427208,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А763К; А763; АТ78,Бескудниково,от центра,да,ГУП «Мосгортранс»,активна,1715951,"{type=Point, coordinates=[37.54811496, 55.87427208]}"
66,"«Баскетбольная школа», Дубнинская улица (от центра)",37.55775278,55.88068293,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Баскетбольная школа,от центра,да,ГУП «Мосгортранс»,активна,1715952,"{type=Point, coordinates=[37.55775278, 55.88068293]}"
67,"«Д/к Юность», Дубнинская улица (от центра)",37.5577084088,55.8843275315,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Д/к Юность,от центра,да,ГУП «Мосгортранс»,активна,1715953,"{type=Point, coordinates=[37.5577084088, 55.8843275315]}"
68,"«Мкр. Дубки», Дубнинская улица (от центра)",37.5576739643,55.8881514089,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Мкр. Дубки,от центра,да,ГУП «Мосгортранс»,активна,1715954,"{type=Point, coordinates=[37.5576739643, 55.8881514089]}"
69,"«Ин-т Стали», Дубнинская улица (от центра)",37.55762874,55.89221605,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Ин-т Стали,от центра,да,ГУП «Мосгортранс»,активна,1715955,"{type=Point, coordinates=[37.55762874, 55.89221605]}"
70,"«Керамический пр.», Дубнинская улица (от центра)",37.5575677861,55.8935280894,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Керамический пр.,от центра,да,ГУП «Мосгортранс»,активна,1715956,"{type=Point, coordinates=[37.5575677861, 55.8935280894]}"
71,"«Платф. Лианозово (выс.)», Дубнинская улица (от центра)",37.55445131,55.89652393,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Платф. Лианозово (выс.),от центра,нет,,активна,1715957,"{type=Point, coordinates=[37.55445131, 55.89652393]}"
72,"«Ст. Ховрино (пос.)», Ангарская улица (в центр)",37.51160056,55.86956661,Ангарская улица,Северный административный округ,район Западное Дегунино,А665; А748; А215К; А154; А928,Ст. Ховрино (пос.),в центр,да,ГУП «Мосгортранс»,активна,1715958,"{type=Point, coordinates=[37.51160056, 55.86956661]}"
73,"«Весенняя ул.», Ангарская улица (от центра)",37.51459808,55.87376954,Ангарская улица,Северный административный округ,район Западное Дегунино,А665; А928,Весенняя ул.,от центра,да,ГУП «Мосгортранс»,активна,1715959,"{type=Point, coordinates=[37.51459808, 55.87376954]}"
74,"«Мкр. Западное Дегунино», Ангарская улица (от центра)",37.5174212,55.87606574,Ангарская улица,Северный административный округ,район Западное Дегунино,А665; А928,Мкр. Западное Дегунино,от центра,да,ГУП «Мосгортранс»,активна,1715960,"{type=Point, coordinates=[37.5174212, 55.87606574]}"
75,"«Ангарская ул.», Коровинское шоссе (от центра)",37.52218296,55.87921929,Коровинское шоссе,Северный административный округ,Дмитровский район,А665; А799; А656; А114; АТ56,Ангарская ул.,от центра,да,ГУП «Мосгортранс»,активна,1715961,"{type=Point, coordinates=[37.52218296, 55.87921929]}"
76,"«Колледж № 7», Клязьминская улица (от центра)",37.52067236,55.88456731,Клязьминская улица,Северный административный округ,Дмитровский район,А665; А200; А194,Колледж № 7,от центра,да,ГУП «Мосгортранс»,активна,1715962,"{type=Point, coordinates=[37.52067236, 55.88456731]}"
77,"«Ин-т Микрохирургии глаза», Коровинское шоссе (в центр)",37.53738746,55.86877206,Коровинское шоссе,Северный административный округ,район Западное Дегунино,А194; А215К; А656; А672; АТ56,Ин-т Микрохирургии глаза,в центр,да,ГУП «Мосгортранс»,активна,1715963,"{type=Point, coordinates=[37.53738746, 55.86877206]}"
11,"«Наб. Тараса Шевченко», набережная Тараса Шевченко (от центра)",37.57271647,55.74976112,набережная Тараса Шевченко,Западный административный округ,район Дорогомилово,А157; А840,Наб. Тараса Шевченко,от центра,да,ЗАО «Валль-СНГ»,активна,1715965,"{type=Point, coordinates=[37.57271647, 55.74976112]}"
26,"«ВКНЦ», 3-я Черепковская улица (в центр)",37.37550932,55.7572642,3-я Черепковская улица,Западный административный округ,район Кунцево,А798; А816,ВКНЦ,в центр,да,ГУП «Мосгортранс»,активна,1715966,"{type=Point, coordinates=[37.37550932, 55.7572642]}"
32,"«Новосущевская ул.», улица Сущёвский Вал (в центр)",37.60337594,55.79289095,улица Сущёвский Вал,Северо-Восточный административный округ,район Марьина Роща,Тб42; АТ18; А126; А84К; А84,Новосущевская ул.,в центр,да,ООО «Праймсайт»,активна,1715967,"{type=Point, coordinates=[37.60337594, 55.79289095]}"
34,"«Керамический пр.», Дубнинская улица (в центр)",37.55724554,55.89460802,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Керамический пр.,в центр,да,ГУП «Мосгортранс»,активна,1715968,"{type=Point, coordinates=[37.55724554, 55.89460802]}"
35,"«Ин-т Стали», Дубнинская улица (в центр)",37.55729147,55.89142924,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Ин-т Стали,в центр,да,ГУП «Мосгортранс»,активна,1715969,"{type=Point, coordinates=[37.55729147, 55.89142924]}"
36,"«Мкр. Дубки», Дубнинская улица (в центр)",37.55730686,55.88768746,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Мкр. Дубки,в центр,да,ГУП «Мосгортранс»,активна,1715970,"{type=Point, coordinates=[37.55730686, 55.88768746]}"
37,"«Д/к Юность», Дубнинская улица (в центр)",37.5573643949,55.8833589241,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Д/к Юность,в центр,да,ГУП «Мосгортранс»,активна,1715971,"{type=Point, coordinates=[37.5573643949, 55.8833589241]}"
38,"«Баскетбольная школа», улица 800-летия Москвы (в центр)",37.55636146,55.88011364,улица 800-летия Москвы,Северный административный округ,район Восточное Дегунино,А748; А799; А857; А149; А167; А179,Баскетбольная школа,в центр,да,ГУП «Мосгортранс»,активна,1715972,"{type=Point, coordinates=[37.55636146, 55.88011364]}"
39,"«Ул. 800-летия Москвы», Дмитровское шоссе (в центр)",37.54599654,55.87767168,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А763К; А763; АТ78,Ул. 800-летия Москвы,в центр,да,ГУП «Мосгортранс»,активна,1715973,"{type=Point, coordinates=[37.54599654, 55.87767168]}"
40,"«Бескудниково», Дмитровское шоссе (в центр)",37.54704248,55.87458982,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А763К; А763; АТ78,Бескудниково,в центр,нет,,активна,1715974,"{type=Point, coordinates=[37.54704248, 55.87458982]}"
41,"«Селигерская ул.», Дмитровское шоссе (в центр)",37.54674812,55.86919544,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А763К; А763,Селигерская ул.,в центр,нет,,активна,1715975,"{type=Point, coordinates=[37.54674812, 55.86919544]}"
42,"«Парк Святослава Федорова», Дмитровское шоссе (в центр)",37.5484894912,55.8633348164,Дмитровское шоссе,Северный административный округ,район Западное Дегунино,А179; А194; А763К; А763; АТ56; АТ78,Парк Святослава Федорова,в центр,да,ГУП «Мосгортранс»,активна,1715976,"{type=Point, coordinates=[37.5484894912, 55.8633348164]}"
43,"«Ильменский пр.», Дмитровское шоссе (в центр)",37.55318989,55.86077256,Дмитровское шоссе,Северный административный округ,район Западное Дегунино,А179; А194; А763К; А763; АТ56; АТ78,Ильменский пр.,в центр,да,ГУП «Мосгортранс»,активна,1715977,"{type=Point, coordinates=[37.55318989, 55.86077256]}"
44,"«Ин-т Цветметавтоматика», Дмитровское шоссе (в центр)",37.5582614716,55.8582121735,Дмитровское шоссе,Северный административный округ,район Западное Дегунино,А179; А194; А763К; А763; АТ56; АТ78,Ин-т Цветметавтоматика,в центр,да,ГУП «Мосгортранс»,активна,1715978,"{type=Point, coordinates=[37.5582614716, 55.8582121735]}"
45,"«7-й автобусный парк», Дмитровское шоссе (в центр)",37.56585131,55.85033933,Дмитровское шоссе,Северный административный округ,район Западное Дегунино,А677К; А179; А194; А677; А114; А82; А692; А154,7-й автобусный парк,в центр,да,ГУП «Мосгортранс»,активна,1715979,"{type=Point, coordinates=[37.56585131, 55.85033933]}"
46,"«Нижн. Лихоборы», Дмитровское шоссе (в центр)",37.5673105,55.84733792,Дмитровское шоссе,Северный административный округ,Тимирязевский район,А179; А194; А114; А82; А692,Нижн. Лихоборы,в центр,да,ГУП «Мосгортранс»,активна,1715980,"{type=Point, coordinates=[37.5673105, 55.84733792]}"
47,"«Метро Петровско-Разумовская», Локомотивный проезд (от центра)",37.57585651,55.83716907,Локомотивный проезд,Северный административный округ,Тимирязевский район,А204; А114; АТ19,Метро Петровско-Разумовская,от центра,да,ГУП «Мосгортранс»,активна,1715981,"{type=Point, coordinates=[37.57585651, 55.83716907]}"
48,"«К/т Байкал», Большая Академическая улица (в центр)",37.53956854,55.8371443498,Большая Академическая улица,Северный административный округ,район Коптево,Тб57; А204; А179; А114; АТ19,К/т Байкал,в центр,да,ГУП «Мосгортранс»,активна,1715982,"{type=Point, coordinates=[37.53956854, 55.8371443498]}"
49,"«Стадион Наука», Большая Академическая улица (в центр)",37.5328525,55.83295208,Большая Академическая улица,Северный административный округ,район Коптево,Тб57; А204; А179; А114; АТ19,Стадион Наука,в центр,да,ГУП «Мосгортранс»,активна,1715983,"{type=Point, coordinates=[37.5328525, 55.83295208]}"
50,"«Управа района Коптево», улица Зои и Александра Космодемьянских (в центр)",37.52242762,55.82411549,улица Зои и Александра Космодемьянских,Северный административный округ,район Коптево,А204; А780; А179,Управа района Коптево,в центр,да,ГУП «Мосгортранс»,активна,1715984,"{type=Point, coordinates=[37.52242762, 55.82411549]}"
51,"«К/т Рассвет», улица Зои и Александра Космодемьянских (в центр)",37.51887274,55.82307265,улица Зои и Александра Космодемьянских,Северный административный округ,район Коптево,А204; А780; А179,К/т Рассвет,в центр,да,ГУП «Мосгортранс»,активна,1715985,"{type=Point, coordinates=[37.51887274, 55.82307265]}"
52,"«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских (в центр) (1)",37.51071983,55.82087948,улица Зои и Александра Космодемьянских,Северный административный округ,Войковский район,А204; А780; А179,3-й Новоподмосковный пер.,в центр,нет,,активна,1715986,"{type=Point, coordinates=[37.51071983, 55.82087948]}"
53,"«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских ( (от центра))(от центра)",37.51203859,55.8210445,улица Зои и Александра Космодемьянских,Северный административный округ,Войковский район,А204; А780; А179,3-й Новоподмосковный пер.,от центра,да,ГУП «Мосгортранс»,активна,1715987,"{type=Point, coordinates=[37.51203859, 55.8210445]}"
54,"«К/т Рассвет», улица Зои и Александра Космодемьянских (от центра)",37.51687828,55.82237098,улица Зои и Александра Космодемьянских,Северный административный округ,Войковский район,А204; А780; А179,К/т Рассвет,от центра,да,ГУП «Мосгортранс»,активна,1715988,"{type=Point, coordinates=[37.51687828, 55.82237098]}"
55,"«Управа района Коптево», улица Зои и Александра Космодемьянских (от центра)",37.5231852,55.82399093,улица Зои и Александра Космодемьянских,Северный административный округ,район Коптево,А204; А780; А179,Управа района Коптево,от центра,нет,,активна,1715989,"{type=Point, coordinates=[37.5231852, 55.82399093]}"
56,"«Стадион Наука», Большая Академическая улица (от центра)",37.53338601,55.83304516,Большая Академическая улица,Северный административный округ,район Коптево,Тб57; А204; А179; А114; АТ19,Стадион Наука,от центра,да,ГУП «Мосгортранс»,активна,1715990,"{type=Point, coordinates=[37.53338601, 55.83304516]}"
60,"«7-й автобусный парк», Дмитровское шоссе (от центра) (1)",37.56536026,55.85188534,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А194,7-й автобусный парк,от центра,нет,,активна,1715992,"{type=Point, coordinates=[37.56536026, 55.85188534]}"
61,"«Ин-т Цветметавтоматика», Дмитровское шоссе (от центра)",37.55947707,55.8580184,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А194; А763К; А763; АТ56; АТ47; Тб36; АТ78,Ин-т Цветметавтоматика,от центра,да,ГУП «Мосгортранс»,активна,1715993,"{type=Point, coordinates=[37.55947707, 55.8580184]}"
62,"«Ильменский пр.», Дмитровское шоссе (от центра)",37.5540423035,55.8609062765,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А194; А763К; А763; АТ56; АТ47; Тб36; АТ78,Ильменский пр.,от центра,да,ГУП «Мосгортранс»,активна,1715994,"{type=Point, coordinates=[37.5540423035, 55.8609062765]}"
